,NU_ANO_CENSO,NO_REGIAO,NO_UF,NO_MUNICIPIO,IN_CAPITAL,TP_CATEGORIA_ADMINISTRATIVA,TP_REDE,NO_CINE_ROTULO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA
4,2017,Norte,Rondônia,Ariquemes,0.0,5,2,Matemática formação de professor,2.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
46,2017,Norte,Rondônia,Cacoal,0.0,4,2,Matemática formação de professor,2.0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,12.0,7.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,1.0,0.0,0.0,17.0,2.0,0.0
71,2017,Norte,Rondônia,Cacoal,0.0,1,1,Matemática formação de professor,2.0,1,46.0,28.0,18.0,16.0,4.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,44.0,2.0,0.0,0.0,0.0,0.0
116,2017,Norte,Rondônia,Ji-Paraná,0.0,1,1,Matemática formação de professor,2.0,1,31.0,18.0,13.0,7.0,2.0,22.0,0.0,0.0,0.0,15.0,10.0,5.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,31.0,0.0,0.0,15.0,0.0,0.0
172,2017,Norte,Rondônia,Porto Velho,1.0,1,1,Matemática formação de professor,2.0,1,44.0,22.0,22.0,6.0,3.0,32.0,1.0,0.0,2.0,13.0,7.0,6.0,1.0,4.0,8.0,0.0,0.0,0.0,16.0,16.0,16.0,0.0,12.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,38.0,6.0,0.0,11.0,2.0,0.0
323,2017,Norte,Rondônia,Vilhena,0.0,1,1,Matemática formação de professor,2.0,1,45.0,29.0,16.0,11.0,5.0,23.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,43.0,2.0,0.0,1.0,0.0,0.0
357,2017,Norte,Acre,Cruzeiro do Sul,0.0,1,1,Matemática formação de professor,2.0,1,38.0,14.0,24.0,4.0,2.0,14.0,1.0,0.0,17.0,16.0,7.0,9.0,1.0,0.0,10.0,0.0,0.0,5.0,15.0,2.0,0.0,1.0,11.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,5.0,10.0,38.0,0.0,0.0,16.0,0.0,0.0
384,2017,Norte,Acre,Rio Branco,1.0,1,1,Matemática formação de professor,2.0,1,53.0,23.0,30.0,11.0,4.0,35.0,0.0,0.0,3.0,154.0,75.0,79.0,15.0,2.0,10.0,0.0,0.0,127.0,23.0,10.0,16.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,108.0,53.0,0.0,0.0,151.0,2.0,1.0
451,2017,Norte,Acre,Rio Branco,1.0,1,1,Matemática formação de professor,2.0,1,74.0,28.0,46.0,6.0,2.0,54.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,23.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,73.0,1.0,0.0,0.0,0.0,0.0
478,2017,Norte,Amazonas,Barreirinha,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
531,2017,Norte,Amazonas,Eirunepé,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
583,2017,Norte,Amazonas,Itacoatiara,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,2017,Norte,Amazonas,Manaus,1.0,1,1,Matemática formação de professor,2.0,1,100.0,31.0,69.0,14.0,8.0,75.0,2.0,1.0,0.0,118.0,42.0,76.0,1.0,2.0,59.0,0.0,17.0,39.0,44.0,44.0,41.0,0.0,21.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,88.0,85.0,15.0,0.0,117.0,0.0,1.0
828,2017,Norte,Amazonas,Manaus,1.0,4,2,Matemática formação de professor,2.0,1,73.0,19.0,54.0,9.0,4.0,46.0,1.0,1.0,12.0,60.0,13.0,47.0,7.0,6.0,46.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.0,69.0,4.0,0.0,51.0,9.0,0.0
890,2017,Norte,Amazonas,Manaus,1.0,4,2,Matemática formação de professor,2.0,1,71.0,17.0,54.0,3.0,1.0,21.0,0.0,0.0,46.0,20.0,5.0,15.0,2.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,34.0,71.0,0.0,0.0,20.0,0.0,0.0
909,2017,Norte,Amazonas,Manaus,1.0,1,1,Matemática formação de professor,2.0,1,47.0,23.0,24.0,4.0,1.0,41.0,0.0,0.0,1.0,8.0,2.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,45.0,2.0,0.0,5.0,3.0,0.0
1015,2017,Norte,Amazonas,Manaus,1.0,2,1,Matemática formação de professor,2.0,1,87.0,32.0,55.0,4.0,2.0,23.0,0.0,3.0,55.0,24.0,11.0,13.0,1.0,0.0,6.0,2.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,87.0,0.0,15.0,9.0,0.0
