,NU_ANO_CENSO,NO_REGIAO,NO_UF,NO_MUNICIPIO,IN_CAPITAL,TP_CATEGORIA_ADMINISTRATIVA,TP_REDE,NO_CINE_ROTULO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA
35,2015,Norte,Rondônia,Cacoal,0.0,4,2,Matemática formação de professor,2.0,1,17.0,8.0,9.0,7.0,1.0,7.0,1.0,0.0,1.0,17.0,6.0,11.0,5.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,7.0,10.0,0.0,7.0,10.0,0.0
57,2015,Norte,Rondônia,Cacoal,0.0,1,1,Matemática formação de professor,2.0,1,46.0,22.0,24.0,12.0,2.0,24.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,41.0,46.0,0.0,0.0,0.0,0.0,0.0
101,2015,Norte,Rondônia,Ji-Paraná,0.0,1,1,Matemática formação de professor,2.0,1,36.0,21.0,15.0,6.0,2.0,28.0,0.0,0.0,0.0,18.0,13.0,5.0,5.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,36.0,0.0,0.0,18.0,0.0,0.0
151,2015,Norte,Rondônia,Porto Velho,1.0,1,1,Matemática formação de professor,2.0,1,47.0,19.0,28.0,8.0,3.0,24.0,0.0,0.0,12.0,4.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,14.0,14.0,9.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,42.0,5.0,0.0,2.0,1.0,1.0
291,2015,Norte,Rondônia,Vilhena,0.0,1,1,Matemática formação de professor,2.0,1,42.0,19.0,23.0,21.0,3.0,17.0,0.0,0.0,1.0,10.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,36.0,42.0,0.0,0.0,10.0,0.0,0.0
316,2015,Norte,Acre,Cruzeiro do Sul,0.0,1,1,Matemática formação de professor,2.0,1,41.0,8.0,33.0,4.0,3.0,30.0,1.0,0.0,3.0,28.0,15.0,13.0,0.0,0.0,2.0,0.0,0.0,26.0,20.0,20.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,41.0,0.0,0.0,24.0,3.0,1.0
350,2015,Norte,Acre,Rio Branco,1.0,1,1,Matemática formação de professor,2.0,1,53.0,16.0,37.0,11.0,5.0,25.0,1.0,0.0,11.0,15.0,8.0,7.0,11.0,0.0,0.0,0.0,0.0,4.0,22.0,22.0,17.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,75.0,51.0,2.0,0.0,13.0,0.0,2.0
409,2015,Norte,Acre,Senador Guiomard,0.0,1,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,2015,Norte,Amazonas,Anori,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,23.0,13.0,6.0,0.0,25.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,10.0,0.0
432,2015,Norte,Amazonas,Apuí,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,11.0,5.0,2.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,7.0,0.0
439,2015,Norte,Amazonas,Barcelos,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,15.0,17.0,3.0,0.0,26.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,12.0,0.0
443,2015,Norte,Amazonas,Barreirinha,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,2015,Norte,Amazonas,Beruri,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,12.0,18.0,8.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,0.0
468,2015,Norte,Amazonas,Borba,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,14.0,14.0,0.0,0.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0
499,2015,Norte,Amazonas,Codajás,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,18.0,17.0,1.0,0.0,0.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,28.0,7.0,0.0
506,2015,Norte,Amazonas,Eirunepé,0.0,2,1,Matemática formação de professor,2.0,1,40.0,12.0,28.0,1.0,0.0,2.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,40.0,0.0,0.0,0.0,0.0
515,2015,Norte,Amazonas,Fonte Boa,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,9.0,28.0,2.0,0.0,31.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,35.0,0.0
538,2015,Norte,Amazonas,Iranduba,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,13.0,17.0,0.0,1.0,24.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,17.0,0.0
563,2015,Norte,Amazonas,Itamarati,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,11.0,17.0,0.0,0.0,2.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,4.0,0.0
