,NU_ANO_CENSO,NO_REGIAO,NO_UF,NO_MUNICIPIO,IN_CAPITAL,TP_CATEGORIA_ADMINISTRATIVA,TP_REDE,NO_CINE_ROTULO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA
8,2014,Norte,Rondônia,Ariquemes,0.0,5,2,Matemática formação de professor,2.0,1,7.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,26.0,13.0,13.0,0.0,1.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,19.0,7.0,0.0,0.0,26.0,0.0,0.0
40,2014,Norte,Rondônia,Cacoal,0.0,4,2,Matemática formação de professor,2.0,1,19.0,5.0,14.0,5.0,1.0,13.0,0.0,0.0,0.0,14.0,5.0,9.0,5.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,18.0,1.0,0.0,10.0,1.0,3.0
62,2014,Norte,Rondônia,Cacoal,0.0,1,1,Matemática formação de professor,2.0,1,36.0,18.0,18.0,12.0,5.0,16.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,0.0,0.0,0.0,0.0
109,2014,Norte,Rondônia,Ji-Paraná,0.0,1,1,Matemática formação de professor,2.0,1,52.0,35.0,17.0,17.0,2.0,22.0,1.0,1.0,9.0,10.0,9.0,1.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,51.0,1.0,0.0,8.0,0.0,2.0
117,2014,Norte,Rondônia,Machadinho D'Oeste,0.0,4,2,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,32.0,19.0,16.0,10.0,21.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,0.0,3.0
152,2014,Norte,Rondônia,Porto Velho,1.0,1,1,Matemática formação de professor,2.0,1,46.0,19.0,27.0,9.0,8.0,26.0,1.0,0.0,2.0,9.0,4.0,5.0,2.0,2.0,5.0,0.0,0.0,0.0,13.0,13.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.0,39.0,7.0,0.0,2.0,0.0,7.0
279,2014,Norte,Rondônia,Vilhena,0.0,1,1,Matemática formação de professor,2.0,1,48.0,23.0,25.0,16.0,6.0,19.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,44.0,4.0,0.0,0.0,0.0,0.0
284,2014,Norte,Acre,Assis Brasil,0.0,1,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
288,2014,Norte,Acre,Brasiléia,0.0,1,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
303,2014,Norte,Acre,Cruzeiro do Sul,0.0,1,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
309,2014,Norte,Acre,Cruzeiro do Sul,0.0,1,1,Matemática formação de professor,2.0,1,44.0,9.0,35.0,10.0,1.0,29.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,10.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,43.0,1.0,0.0,0.0,0.0,0.0
