,NU_ANO_CENSO,NO_REGIAO,NO_UF,NO_MUNICIPIO,IN_CAPITAL,TP_CATEGORIA_ADMINISTRATIVA,TP_REDE,NO_CINE_ROTULO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA
46,2018,Norte,Rondônia,Cacoal,0.0,4,2,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,15.0,7.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,21.0,1.0,0.0
70,2018,Norte,Rondônia,Cacoal,0.0,1,1,Matemática formação de professor,2.0,1,42.0,23.0,19.0,13.0,8.0,20.0,0.0,1.0,0.0,10.0,8.0,2.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,42.0,0.0,0.0,10.0,0.0,0.0
115,2018,Norte,Rondônia,Ji-Paraná,0.0,1,1,Matemática formação de professor,2.0,1,49.0,25.0,24.0,6.0,5.0,30.0,0.0,0.0,8.0,17.0,9.0,8.0,6.0,3.0,7.0,0.0,0.0,1.0,25.0,24.0,14.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,47.0,2.0,0.0,16.0,1.0,0.0
173,2018,Norte,Rondônia,Porto Velho,1.0,1,1,Matemática formação de professor,2.0,1,39.0,15.0,24.0,4.0,9.0,23.0,0.0,0.0,3.0,19.0,7.0,12.0,3.0,3.0,13.0,0.0,0.0,0.0,20.0,19.0,14.0,1.0,10.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,59.0,36.0,3.0,0.0,16.0,3.0,0.0
345,2018,Norte,Rondônia,Vilhena,0.0,1,1,Matemática formação de professor,2.0,1,42.0,25.0,17.0,14.0,4.0,22.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,38.0,41.0,1.0,0.0,1.0,0.0,0.0
380,2018,Norte,Acre,Cruzeiro do Sul,0.0,1,1,Matemática formação de professor,2.0,1,42.0,9.0,33.0,6.0,3.0,28.0,0.0,0.0,5.0,16.0,2.0,14.0,1.0,1.0,10.0,0.0,0.0,4.0,20.0,20.0,14.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,32.0,42.0,0.0,0.0,16.0,0.0,0.0
408,2018,Norte,Acre,Rio Branco,1.0,1,1,Matemática formação de professor,2.0,1,63.0,17.0,46.0,12.0,5.0,40.0,1.0,0.0,5.0,58.0,28.0,30.0,6.0,0.0,11.0,0.0,0.0,41.0,23.0,22.0,18.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,20.0,58.0,5.0,0.0,56.0,2.0,0.0
479,2018,Norte,Acre,Rio Branco,1.0,1,1,Matemática formação de professor,2.0,1,44.0,21.0,23.0,3.0,4.0,22.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,43.0,1.0,0.0,0.0,0.0,0.0
497,2018,Norte,Amazonas,Apuí,0.0,2,1,Matemática formação de professor,2.0,1,661.0,290.0,371.0,10.0,0.0,70.0,2.0,11.0,568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.0,0.0,0.0,0.0,0.0
509,2018,Norte,Amazonas,Barreirinha,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,20.0,16.0,0.0,0.0,4.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0
557,2018,Norte,Amazonas,Eirunepé,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
602,2018,Norte,Amazonas,Itacoatiara,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
689,2018,Norte,Amazonas,Manaus,1.0,1,1,Matemática formação de professor,2.0,1,142.0,55.0,87.0,16.0,11.0,115.0,0.0,0.0,0.0,32.0,5.0,27.0,2.0,1.0,27.0,0.0,1.0,1.0,55.0,55.0,49.0,3.0,27.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,7.0,81.0,125.0,17.0,0.0,30.0,2.0,0.0
911,2018,Norte,Amazonas,Manaus,1.0,4,2,Matemática formação de professor,2.0,1,41.0,13.0,28.0,2.0,3.0,32.0,1.0,0.0,3.0,22.0,6.0,16.0,4.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,81.0,32.0,9.0,0.0,21.0,1.0,0.0
940,2018,Norte,Amazonas,Manaus,1.0,4,2,Matemática formação de professor,2.0,1,21.0,9.0,12.0,0.0,0.0,20.0,0.0,0.0,1.0,16.0,3.0,13.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,43.0,21.0,0.0,0.0,16.0,0.0,0.0
959,2018,Norte,Amazonas,Manaus,1.0,1,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,0.0,0.0,0.0,8.0,1.0,0.0
1081,2018,Norte,Amazonas,Manaus,1.0,2,1,Matemática formação de professor,2.0,1,86.0,26.0,60.0,11.0,3.0,24.0,1.0,1.0,46.0,25.0,5.0,20.0,0.0,2.0,9.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0,3.0,83.0,0.0,19.0,6.0,0.0
1169,2018,Norte,Amazonas,Maués,0.0,2,1,Matemática formação de professor,2.0,1,14.0,7.0,7.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0
1204,2018,Norte,Amazonas,Parintins,0.0,2,1,Matemática formação de professor,2.0,1,46.0,17.0,29.0,1.0,0.0,10.0,0.0,2.0,33.0,17.0,6.0,11.0,0.0,0.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,46.0,0.0,10.0,7.0,0.0
1215,2018,Norte,Amazonas,Presidente Figueiredo,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1216,2018,Norte,Amazonas,Presidente Figueiredo,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1226,2018,Norte,Amazonas,São Gabriel da Cachoeira,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,2018,Norte,Amazonas,Tabatinga,0.0,2,1,Matemática formação de professor,2.0,1,54.0,18.0,36.0,0.0,0.0,9.0,0.0,4.0,41.0,20.0,7.0,13.0,1.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,79.0,0.0,54.0,0.0,18.0,2.0,0.0
1246,2018,Norte,Amazonas,Tabatinga,0.0,2,1,Matemática formação de professor,2.0,1,46.0,17.0,29.0,1.0,0.0,10.0,0.0,2.0,33.0,11.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,46.0,0.0,5.0,6.0,0.0
1265,2018,Norte,Amazonas,Tefé,0.0,2,1,Matemática formação de professor,2.0,1,48.0,22.0,26.0,0.0,1.0,4.0,0.0,0.0,43.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,0.0,48.0,0.0,8.0,0.0,0.0
1266,2018,Norte,Amazonas,Tefé,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1275,2018,Norte,Amazonas,Tonantins,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
1316,2018,Norte,Roraima,Boa Vista,1.0,1,1,Matemática formação de professor,2.0,1,30.0,9.0,21.0,5.0,4.0,21.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,7.0,82.0,5.0,25.0,0.0,1.0,4.0,0.0
1362,2018,Norte,Roraima,Boa Vista,1.0,1,1,Matemática formação de professor,2.0,1,24.0,3.0,21.0,3.0,1.0,18.0,0.0,2.0,0.0,9.0,0.0,9.0,0.0,0.0,7.0,1.0,0.0,1.0,9.0,9.0,7.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,4.0,24.0,0.0,0.0,9.0,0.0,0.0
1376,2018,Norte,Roraima,Boa Vista,1.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,7.0,0.0,0.0
1403,2018,Norte,Pará,Abaetetuba,0.0,1,1,Matemática formação de professor,2.0,1,41.0,20.0,21.0,3.0,4.0,32.0,1.0,0.0,1.0,40.0,18.0,22.0,1.0,0.0,14.0,0.0,0.0,25.0,31.0,31.0,7.0,0.0,22.0,0.0,11.0,7.0,0.0,0.0,4.0,0.0,36.0,108.0,31.0,10.0,0.0,11.0,23.0,6.0
1414,2018,Norte,Pará,Altamira,0.0,2,1,Matemática formação de professor,2.0,1,41.0,21.0,20.0,5.0,4.0,26.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,41.0,0.0,1.0,0.0,0.0
1464,2018,Norte,Pará,Ananindeua,0.0,4,2,Matemática formação de professor,2.0,1,16.0,1.0,15.0,1.0,0.0,14.0,1.0,0.0,0.0,22.0,3.0,19.0,1.0,2.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,16.0,0.0,0.0,22.0,0.0
1504,2018,Norte,Pará,Belém,1.0,2,1,Matemática formação de professor,2.0,1,166.0,49.0,117.0,23.0,17.0,74.0,0.0,0.0,52.0,61.0,17.0,44.0,14.0,11.0,34.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,73.0,0.0,166.0,0.0,3.0,58.0,0.0
1620,2018,Norte,Pará,Belém,1.0,1,1,Matemática formação de professor,2.0,1,107.0,34.0,73.0,21.0,13.0,68.0,1.0,0.0,4.0,175.0,73.0,102.0,15.0,11.0,67.0,0.0,0.0,82.0,55.0,55.0,19.0,0.0,33.0,0.0,20.0,10.0,1.0,0.0,9.0,0.0,305.0,186.0,55.0,52.0,0.0,21.0,122.0,32.0
1717,2018,Norte,Pará,Belém,1.0,1,1,Matemática formação de professor,2.0,1,40.0,7.0,33.0,5.0,5.0,30.0,0.0,0.0,0.0,24.0,5.0,19.0,3.0,0.0,20.0,0.0,0.0,1.0,19.0,19.0,14.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,40.0,0.0,0.0,22.0,1.0,1.0
1856,2018,Norte,Pará,Bragança,0.0,1,1,Matemática formação de professor,2.0,1,39.0,14.0,25.0,1.0,2.0,36.0,0.0,0.0,0.0,21.0,10.0,11.0,0.0,0.0,12.0,0.0,0.0,9.0,29.0,29.0,8.0,0.0,19.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,31.0,60.0,29.0,10.0,0.0,5.0,7.0,9.0
1865,2018,Norte,Pará,Breves,0.0,1,1,Matemática formação de professor,2.0,1,74.0,19.0,55.0,2.0,10.0,58.0,1.0,0.0,3.0,64.0,22.0,42.0,4.0,3.0,32.0,0.0,0.0,25.0,66.0,66.0,14.0,0.0,48.0,0.0,15.0,9.0,0.0,0.0,6.0,0.0,56.0,29.0,66.0,8.0,0.0,15.0,12.0,37.0
1879,2018,Norte,Pará,Cametá,0.0,1,1,Matemática formação de professor,2.0,1,40.0,11.0,29.0,5.0,5.0,30.0,0.0,0.0,0.0,24.0,13.0,11.0,1.0,1.0,4.0,0.0,0.0,18.0,34.0,34.0,3.0,0.0,29.0,0.0,9.0,5.0,0.0,0.0,4.0,0.0,33.0,55.0,34.0,6.0,0.0,9.0,11.0,4.0
1905,2018,Norte,Pará,Castanhal,0.0,1,1,Matemática formação de professor,2.0,1,70.0,26.0,44.0,8.0,12.0,50.0,0.0,0.0,0.0,61.0,27.0,34.0,8.0,2.0,29.0,0.0,0.0,22.0,20.0,20.0,4.0,0.0,13.0,0.0,16.0,10.0,1.0,0.0,5.0,0.0,73.0,141.0,20.0,50.0,0.0,16.0,15.0,30.0
1934,2018,Norte,Pará,Conceição do Araguaia,0.0,2,1,Matemática formação de professor,2.0,1,43.0,15.0,28.0,5.0,7.0,27.0,1.0,0.0,3.0,5.0,1.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,43.0,0.0,0.0,5.0,0.0
1939,2018,Norte,Pará,Igarapé-Açu,0.0,2,1,Matemática formação de professor,2.0,1,50.0,19.0,31.0,3.0,3.0,34.0,2.0,0.0,8.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,50.0,0.0,1.0,3.0,0.0
2011,2018,Norte,Pará,Marabá,0.0,1,1,Matemática formação de professor,2.0,1,49.0,20.0,29.0,8.0,6.0,35.0,0.0,0.0,0.0,17.0,7.0,10.0,5.0,0.0,12.0,0.0,0.0,0.0,19.0,19.0,16.0,0.0,12.0,0.0,4.0,4.0,2.0,0.0,1.0,0.0,42.0,41.0,48.0,1.0,0.0,17.0,0.0,0.0
2023,2018,Norte,Pará,Moju,0.0,2,1,Matemática formação de professor,2.0,1,41.0,10.0,31.0,6.0,5.0,27.0,1.0,0.0,2.0,24.0,12.0,12.0,4.0,1.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,41.0,0.0,2.0,22.0,0.0
