,NU_ANO_CENSO,NO_REGIAO,NO_UF,NO_MUNICIPIO,IN_CAPITAL,TP_CATEGORIA_ADMINISTRATIVA,TP_REDE,NO_CINE_ROTULO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA
44,2016,Norte,Rondônia,Cacoal,0.0,4,2,Matemática formação de professor,2.0,1,3.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,45.0,27.0,18.0,23.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,3.0,0.0,0.0,28.0,9.0,8.0
68,2016,Norte,Rondônia,Cacoal,0.0,1,1,Matemática formação de professor,2.0,1,45.0,19.0,26.0,12.0,7.0,20.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,45.0,0.0,0.0,0.0,0.0,0.0
113,2016,Norte,Rondônia,Ji-Paraná,0.0,1,1,Matemática formação de professor,2.0,1,27.0,13.0,14.0,13.0,3.0,9.0,0.0,1.0,1.0,18.0,10.0,8.0,7.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0,26.0,1.0,0.0,18.0,0.0,0.0
166,2016,Norte,Rondônia,Porto Velho,1.0,1,1,Matemática formação de professor,2.0,1,50.0,19.0,31.0,7.0,6.0,30.0,0.0,0.0,7.0,27.0,17.0,10.0,14.0,2.0,10.0,0.0,0.0,1.0,22.0,22.0,16.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,48.0,2.0,0.0,26.0,1.0,0.0
308,2016,Norte,Rondônia,Vilhena,0.0,1,1,Matemática formação de professor,2.0,1,54.0,35.0,19.0,20.0,9.0,17.0,0.0,0.0,8.0,12.0,5.0,7.0,6.0,3.0,1.0,0.0,1.0,1.0,13.0,4.0,7.0,0.0,4.0,1.0,3.0,3.0,3.0,0.0,1.0,0.0,7.0,38.0,52.0,2.0,0.0,11.0,0.0,1.0
335,2016,Norte,Acre,Cruzeiro do Sul,0.0,1,1,Matemática formação de professor,2.0,1,43.0,15.0,28.0,3.0,2.0,33.0,2.0,0.0,3.0,16.0,9.0,7.0,3.0,0.0,3.0,0.0,0.0,10.0,21.0,20.0,15.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,42.0,1.0,0.0,15.0,1.0,0.0
363,2016,Norte,Acre,Rio Branco,1.0,1,1,Matemática formação de professor,2.0,1,58.0,11.0,47.0,14.0,2.0,33.0,1.0,0.0,8.0,30.0,11.0,19.0,7.0,1.0,2.0,0.0,0.0,20.0,24.0,3.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,15.0,56.0,2.0,0.0,28.0,0.0,2.0
432,2016,Norte,Acre,Senador Guiomard,0.0,1,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
461,2016,Norte,Amazonas,Barreirinha,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
514,2016,Norte,Amazonas,Eirunepé,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
