,NU_ANO_CENSO,NO_REGIAO,NO_UF,NO_MUNICIPIO,IN_CAPITAL,TP_CATEGORIA_ADMINISTRATIVA,TP_REDE,NO_CINE_ROTULO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA
3,2019,Norte,Rondônia,Ariquemes,0.0,5,2,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2019,Norte,Rondônia,Cacoal,0.0,4,2,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2019,Norte,Rondônia,Cacoal,0.0,1,1,Matemática formação de professor,2.0,1,44.0,21.0,23.0,15.0,2.0,26.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.0,42.0,2.0,0.0,4.0,0.0,0.0
126,2019,Norte,Rondônia,Ji-Paraná,0.0,1,1,Matemática formação de professor,2.0,1,20.0,11.0,9.0,1.0,5.0,14.0,0.0,0.0,0.0,14.0,7.0,7.0,4.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,20.0,0.0,0.0,14.0,0.0,0.0
188,2019,Norte,Rondônia,Porto Velho,1.0,1,1,Matemática formação de professor,2.0,1,43.0,10.0,33.0,10.0,3.0,27.0,1.0,0.0,2.0,7.0,1.0,6.0,0.0,2.0,4.0,0.0,0.0,1.0,17.0,6.0,12.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,59.0,37.0,6.0,0.0,6.0,1.0,0.0
358,2019,Norte,Rondônia,Vilhena,0.0,1,1,Matemática formação de professor,2.0,1,43.0,26.0,17.0,16.0,1.0,22.0,1.0,0.0,3.0,12.0,9.0,3.0,5.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,42.0,1.0,0.0,12.0,0.0,0.0
401,2019,Norte,Acre,Cruzeiro do Sul,0.0,1,1,Matemática formação de professor,2.0,1,38.0,12.0,26.0,6.0,1.0,19.0,1.0,0.0,11.0,19.0,7.0,12.0,3.0,1.0,12.0,0.0,0.0,3.0,16.0,15.0,0.0,1.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,38.0,0.0,0.0,19.0,0.0,0.0
431,2019,Norte,Acre,Rio Branco,1.0,1,1,Matemática formação de professor,2.0,1,57.0,18.0,39.0,12.0,5.0,39.0,1.0,0.0,0.0,17.0,3.0,14.0,4.0,0.0,7.0,0.0,0.0,6.0,23.0,23.0,19.0,0.0,12.0,0.0,5.0,4.0,4.0,0.0,2.0,0.0,41.0,40.0,57.0,0.0,0.0,16.0,1.0,0.0
503,2019,Norte,Acre,Rio Branco,1.0,1,1,Matemática formação de professor,2.0,1,41.0,16.0,25.0,8.0,0.0,25.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,41.0,0.0,0.0,0.0,0.0,0.0
523,2019,Norte,Amazonas,Apuí,0.0,2,1,Matemática formação de professor,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
